candidate	boundary	left_d1e-6	right_d1e-6	slope_left	slope_right	at_node	node_expected
equal	0.0000	-0.400000000000	-0.399996800000	0.0000	3.2000	-0.400000000000	-0.400000000000
equal	0.2500	0.399996800000	0.400002204226	3.2000	2.2042	0.400000000000	0.400000000000
equal	0.5000	0.951054312069	0.951051912069	2.2042	4.6042	0.951056516295	0.951056516295
equal	0.7500	-0.199995395774	-0.199995200000	4.6042	4.8000	-0.200000000000	-0.200000000000
equal	1.0000	0.999995200000	1.000000000000	4.8000	0.0000	1.000000000000	1.000000000000
panel	0.0000	-0.400000000000	-0.399997272417	0.0000	2.7276	-0.400000000000	-0.400000000000
panel	0.2933	0.399997272417	0.400007507582	2.7276	7.5076	0.400000000000	0.400000000000
panel	0.3667	0.951049008713	0.951053977013	7.5076	2.5393	0.951056516295	0.951056516295
panel	0.8200	-0.199997460718	-0.199993333333	2.5393	6.6667	-0.200000000000	-0.200000000000
panel	1.0000	0.999993333333	1.000000000000	6.6667	0.0000	1.000000000000	1.000000000000
