candidate	norm	phase	value
equal	0.2500	0.26562	0.468750000
equal	0.2500	0.28125	0.437500000
equal	0.2500	0.29688	0.406250000
equal	0.2500	0.31250	0.375000000
equal	0.2500	0.32812	0.343750000
equal	0.2500	0.34375	0.312500000
equal	0.2500	0.35938	0.281250000
equal	0.2500	0.37500	0.250000000
equal	0.2500	0.39062	0.218750000
equal	0.2500	0.40625	0.187500000
equal	0.2500	0.42188	0.156250000
equal	0.2500	0.43750	0.125000000
equal	0.2500	0.45312	0.093750000
equal	0.2500	0.46875	0.062500000
equal	0.2500	0.48438	0.031250000
equal	0.2500	0.50000	0.000000000
equal	0.2500	0.51562	-0.031250000
equal	0.2500	0.53125	-0.062500000
equal	0.2500	0.54688	-0.093750000
equal	0.2500	0.56250	-0.125000000
equal	0.2500	0.57812	-0.156250000
equal	0.2500	0.59375	-0.187500000
equal	0.2500	0.60938	-0.218750000
equal	0.2500	0.62500	-0.250000000
equal	0.2500	0.64062	-0.281250000
equal	0.2500	0.65625	-0.312500000
equal	0.2500	0.67188	-0.343750000
equal	0.2500	0.68750	-0.375000000
equal	0.2500	0.70312	-0.406250000
equal	0.2500	0.71875	-0.437500000
equal	0.2500	0.73438	-0.468750000
equal	0.2500	0.75000	-0.500000000
equal	0.2500	0.76562	-0.531250000
equal	0.2500	0.78125	-0.562500000
equal	0.2500	0.79688	-0.593750000
equal	0.2500	0.81250	-0.625000000
equal	0.2500	0.82812	-0.656250000
equal	0.2500	0.84375	-0.687500000
equal	0.2500	0.85938	-0.718750000
equal	0.2500	0.87500	-0.750000000
equal	0.2500	0.89062	-0.781250000
equal	0.2500	0.90625	-0.812500000
equal	0.2500	0.92188	-0.843750000
equal	0.2500	0.93750	-0.875000000
equal	0.2500	0.95312	-0.906250000
equal	0.2500	0.96875	-0.937500000
equal	0.2500	0.98438	-0.968750000
equal	0.3750	0.00000	0.500000000
equal	0.3750	0.01562	0.533383570
equal	0.3750	0.03125	0.566295161
equal	0.3750	0.04688	0.598267339
equal	0.3750	0.06250	0.628841716
equal	0.3750	0.07812	0.657573368
equal	0.3750	0.09375	0.684035117
equal	0.3750	0.10938	0.707821642
equal	0.3750	0.12500	0.728553391
equal	0.3750	0.14062	0.745880227
equal	0.3750	0.15625	0.759484806
equal	0.3750	0.17188	0.769085632
equal	0.3750	0.18750	0.774439766
equal	0.3750	0.20312	0.775345168
equal	0.3750	0.21875	0.771642640
equal	0.3750	0.23438	0.763217363
equal	0.3750	0.25000	0.750000000
equal	0.3750	0.26562	0.731967363
equal	0.3750	0.28125	0.709142640
equal	0.3750	0.29688	0.681595168
equal	0.3750	0.31250	0.649439766
equal	0.3750	0.32812	0.612835632
equal	0.3750	0.34375	0.571984806
equal	0.3750	0.35938	0.527130227
equal	0.3750	0.37500	0.478553391
equal	0.3750	0.39062	0.426571642
equal	0.3750	0.40625	0.371535117
equal	0.3750	0.42188	0.313823368
equal	0.3750	0.43750	0.253841716
equal	0.3750	0.45312	0.192017339
equal	0.3750	0.46875	0.128795161
equal	0.3750	0.48438	0.064633570
equal	0.3750	0.50000	0.000000000
equal	0.3750	0.51562	-0.064633570
equal	0.3750	0.53125	-0.128795161
equal	0.3750	0.54688	-0.192017339
equal	0.3750	0.56250	-0.253841716
equal	0.3750	0.57812	-0.313823368
equal	0.3750	0.59375	-0.371535117
equal	0.3750	0.60938	-0.426571642
equal	0.3750	0.62500	-0.478553391
equal	0.3750	0.64062	-0.527130227
equal	0.3750	0.65625	-0.571984806
equal	0.3750	0.67188	-0.612835632
equal	0.3750	0.68750	-0.649439766
equal	0.3750	0.70312	-0.681595168
equal	0.3750	0.71875	-0.709142640
equal	0.3750	0.73438	-0.731967363
equal	0.3750	0.75000	-0.750000000
equal	0.3750	0.76562	-0.763217363
equal	0.3750	0.78125	-0.771642640
equal	0.3750	0.79688	-0.775345168
equal	0.3750	0.81250	-0.774439766
equal	0.3750	0.82812	-0.769085632
equal	0.3750	0.84375	-0.759484806
equal	0.3750	0.85938	-0.745880227
equal	0.3750	0.87500	-0.728553391
equal	0.3750	0.89062	-0.707821642
equal	0.3750	0.90625	-0.684035117
equal	0.3750	0.92188	-0.657573368
equal	0.3750	0.93750	-0.628841716
equal	0.3750	0.95312	-0.598267339
equal	0.3750	0.96875	-0.566295161
equal	0.3750	0.98438	-0.533383570
equal	0.5000	0.00000	0.000000000
equal	0.5000	0.01562	0.098017140
equal	0.5000	0.03125	0.195090322
equal	0.5000	0.04688	0.290284677
equal	0.5000	0.06250	0.382683432
equal	0.5000	0.07812	0.471396737
equal	0.5000	0.09375	0.555570233
equal	0.5000	0.10938	0.634393284
equal	0.5000	0.12500	0.707106781
equal	0.5000	0.14062	0.773010453
equal	0.5000	0.15625	0.831469612
equal	0.5000	0.17188	0.881921264
equal	0.5000	0.18750	0.923879533
equal	0.5000	0.20312	0.956940336
equal	0.5000	0.21875	0.980785280
equal	0.5000	0.23438	0.995184727
equal	0.5000	0.25000	1.000000000
equal	0.5000	0.26562	0.995184727
equal	0.5000	0.28125	0.980785280
equal	0.5000	0.29688	0.956940336
equal	0.5000	0.31250	0.923879533
equal	0.5000	0.32812	0.881921264
equal	0.5000	0.34375	0.831469612
equal	0.5000	0.35938	0.773010453
equal	0.5000	0.37500	0.707106781
equal	0.5000	0.39062	0.634393284
equal	0.5000	0.40625	0.555570233
equal	0.5000	0.42188	0.471396737
equal	0.5000	0.43750	0.382683432
equal	0.5000	0.45312	0.290284677
equal	0.5000	0.46875	0.195090322
equal	0.5000	0.48438	0.098017140
equal	0.5000	0.50000	0.000000000
equal	0.5000	0.51562	-0.098017140
equal	0.5000	0.53125	-0.195090322
equal	0.5000	0.54688	-0.290284677
equal	0.5000	0.56250	-0.382683432
equal	0.5000	0.57812	-0.471396737
equal	0.5000	0.59375	-0.555570233
equal	0.5000	0.60938	-0.634393284
equal	0.5000	0.62500	-0.707106781
equal	0.5000	0.64062	-0.773010453
equal	0.5000	0.65625	-0.831469612
equal	0.5000	0.67188	-0.881921264
equal	0.5000	0.68750	-0.923879533
equal	0.5000	0.70312	-0.956940336
equal	0.5000	0.71875	-0.980785280
equal	0.5000	0.73438	-0.995184727
equal	0.5000	0.75000	-1.000000000
equal	0.5000	0.76562	-0.995184727
equal	0.5000	0.78125	-0.980785280
equal	0.5000	0.79688	-0.956940336
equal	0.5000	0.81250	-0.923879533
equal	0.5000	0.82812	-0.881921264
equal	0.5000	0.84375	-0.831469612
equal	0.5000	0.85938	-0.773010453
equal	0.5000	0.87500	-0.707106781
equal	0.5000	0.89062	-0.634393284
equal	0.5000	0.90625	-0.555570233
equal	0.5000	0.92188	-0.471396737
equal	0.5000	0.93750	-0.382683432
equal	0.5000	0.95312	-0.290284677
equal	0.5000	0.96875	-0.195090322
equal	0.5000	0.98438	-0.098017140
equal	0.6250	0.00000	0.500000000
equal	0.6250	0.01562	0.517758570
equal	0.6250	0.03125	0.535045161
equal	0.6250	0.04688	0.551392339
equal	0.6250	0.06250	0.566341716
equal	0.6250	0.07812	0.579448368
equal	0.6250	0.09375	0.590285117
equal	0.6250	0.10938	0.598446642
equal	0.6250	0.12500	0.603553391
equal	0.6250	0.14062	0.605255227
equal	0.6250	0.15625	0.603234806
equal	0.6250	0.17188	0.597210632
equal	0.6250	0.18750	0.586939766
equal	0.6250	0.20312	0.572220168
equal	0.6250	0.21875	0.552892640
equal	0.6250	0.23438	0.528842363
equal	0.6250	0.25000	0.500000000
equal	0.6250	0.26562	0.466342363
equal	0.6250	0.28125	0.427892640
equal	0.6250	0.29688	0.384720168
equal	0.6250	0.31250	0.336939766
equal	0.6250	0.32812	0.284710632
equal	0.6250	0.34375	0.228234806
equal	0.6250	0.35938	0.167755227
equal	0.6250	0.37500	0.103553391
equal	0.6250	0.39062	0.035946642
equal	0.6250	0.40625	-0.034714883
equal	0.6250	0.42188	-0.108051632
equal	0.6250	0.43750	-0.183658284
equal	0.6250	0.45312	-0.261107661
equal	0.6250	0.46875	-0.339954839
equal	0.6250	0.48438	-0.419741430
equal	0.6250	0.50000	-0.500000000
equal	0.6250	0.51562	-0.517758570
equal	0.6250	0.53125	-0.535045161
equal	0.6250	0.54688	-0.551392339
equal	0.6250	0.56250	-0.566341716
equal	0.6250	0.57812	-0.579448368
equal	0.6250	0.59375	-0.590285117
equal	0.6250	0.60938	-0.598446642
equal	0.6250	0.62500	-0.603553391
equal	0.6250	0.64062	-0.605255227
equal	0.6250	0.65625	-0.603234806
equal	0.6250	0.67188	-0.597210632
equal	0.6250	0.68750	-0.586939766
equal	0.6250	0.70312	-0.572220168
equal	0.6250	0.71875	-0.552892640
equal	0.6250	0.73438	-0.528842363
equal	0.6250	0.75000	-0.500000000
equal	0.6250	0.76562	-0.466342363
equal	0.6250	0.78125	-0.427892640
equal	0.6250	0.79688	-0.384720168
equal	0.6250	0.81250	-0.336939766
equal	0.6250	0.82812	-0.284710632
equal	0.6250	0.84375	-0.228234806
equal	0.6250	0.85938	-0.167755227
equal	0.6250	0.87500	-0.103553391
equal	0.6250	0.89062	-0.035946642
equal	0.6250	0.90625	0.034714883
equal	0.6250	0.92188	0.108051632
equal	0.6250	0.93750	0.183658284
equal	0.6250	0.95312	0.261107661
equal	0.6250	0.96875	0.339954839
equal	0.6250	0.98438	0.419741430
equal	0.7500	0.00000	1.000000000
equal	0.7500	0.01562	0.937500000
equal	0.7500	0.03125	0.875000000
equal	0.7500	0.04688	0.812500000
equal	0.7500	0.06250	0.750000000
equal	0.7500	0.07812	0.687500000
equal	0.7500	0.09375	0.625000000
equal	0.7500	0.10938	0.562500000
equal	0.7500	0.12500	0.500000000
equal	0.7500	0.14062	0.437500000
equal	0.7500	0.15625	0.375000000
equal	0.7500	0.17188	0.312500000
equal	0.7500	0.18750	0.250000000
equal	0.7500	0.20312	0.187500000
equal	0.7500	0.21875	0.125000000
equal	0.7500	0.23438	0.062500000
equal	0.7500	0.25000	0.000000000
equal	0.7500	0.26562	-0.062500000
equal	0.7500	0.28125	-0.125000000
equal	0.7500	0.29688	-0.187500000
equal	0.7500	0.31250	-0.250000000
equal	0.7500	0.32812	-0.312500000
equal	0.7500	0.34375	-0.375000000
equal	0.7500	0.35938	-0.437500000
equal	0.7500	0.37500	-0.500000000
equal	0.7500	0.39062	-0.562500000
equal	0.7500	0.40625	-0.625000000
equal	0.7500	0.42188	-0.687500000
equal	0.7500	0.43750	-0.750000000
equal	0.7500	0.45312	-0.812500000
equal	0.7500	0.46875	-0.875000000
equal	0.7500	0.48438	-0.937500000
equal	0.7500	0.50000	-1.000000000
equal	0.7500	0.51562	-0.937500000
equal	0.7500	0.53125	-0.875000000
equal	0.7500	0.54688	-0.812500000
equal	0.7500	0.56250	-0.750000000
equal	0.7500	0.57812	-0.687500000
equal	0.7500	0.59375	-0.625000000
equal	0.7500	0.60938	-0.562500000
equal	0.7500	0.62500	-0.500000000
equal	0.7500	0.64062	-0.437500000
equal	0.7500	0.65625	-0.375000000
equal	0.7500	0.67188	-0.312500000
equal	0.7500	0.68750	-0.250000000
equal	0.7500	0.70312	-0.187500000
equal	0.7500	0.71875	-0.125000000
equal	0.7500	0.73438	-0.062500000
equal	0.7500	0.75000	0.000000000
equal	0.7500	0.76562	0.062500000
equal	0.7500	0.78125	0.125000000
equal	0.7500	0.79688	0.187500000
equal	0.7500	0.81250	0.250000000
equal	0.7500	0.82812	0.312500000
equal	0.7500	0.84375	0.375000000
equal	0.7500	0.85938	0.437500000
equal	0.7500	0.87500	0.500000000
equal	0.7500	0.89062	0.562500000
equal	0.7500	0.90625	0.625000000
equal	0.7500	0.92188	0.687500000
equal	0.7500	0.93750	0.750000000
equal	0.7500	0.95312	0.812500000
equal	0.7500	0.96875	0.875000000
equal	0.7500	0.98438	0.937500000
equal	0.8750	0.00000	1.000000000
equal	0.8750	0.01562	0.968750000
equal	0.8750	0.03125	0.937500000
equal	0.8750	0.04688	0.906250000
equal	0.8750	0.06250	0.875000000
equal	0.8750	0.07812	0.843750000
equal	0.8750	0.09375	0.812500000
equal	0.8750	0.10938	0.781250000
equal	0.8750	0.12500	0.750000000
equal	0.8750	0.14062	0.718750000
equal	0.8750	0.15625	0.687500000
equal	0.8750	0.17188	0.656250000
equal	0.8750	0.18750	0.625000000
equal	0.8750	0.20312	0.593750000
equal	0.8750	0.21875	0.562500000
equal	0.8750	0.23438	0.531250000
equal	0.8750	0.25000	0.500000000
equal	0.8750	0.26562	0.468750000
equal	0.8750	0.28125	0.437500000
equal	0.8750	0.29688	0.406250000
equal	0.8750	0.31250	0.375000000
equal	0.8750	0.32812	0.343750000
equal	0.8750	0.34375	0.312500000
equal	0.8750	0.35938	0.281250000
equal	0.8750	0.37500	0.250000000
equal	0.8750	0.39062	0.218750000
equal	0.8750	0.40625	0.187500000
equal	0.8750	0.42188	0.156250000
equal	0.8750	0.43750	0.125000000
equal	0.8750	0.45312	0.093750000
equal	0.8750	0.46875	0.062500000
equal	0.8750	0.48438	0.031250000
equal	0.8750	0.50000	-1.000000000
equal	0.8750	0.51562	-0.968750000
equal	0.8750	0.53125	-0.937500000
equal	0.8750	0.54688	-0.906250000
equal	0.8750	0.56250	-0.875000000
equal	0.8750	0.57812	-0.843750000
equal	0.8750	0.59375	-0.812500000
equal	0.8750	0.60938	-0.781250000
equal	0.8750	0.62500	-0.750000000
equal	0.8750	0.64062	-0.718750000
equal	0.8750	0.65625	-0.687500000
equal	0.8750	0.67188	-0.656250000
equal	0.8750	0.68750	-0.625000000
equal	0.8750	0.70312	-0.593750000
equal	0.8750	0.71875	-0.562500000
equal	0.8750	0.73438	-0.531250000
equal	0.8750	0.75000	-0.500000000
equal	0.8750	0.76562	-0.468750000
equal	0.8750	0.78125	-0.437500000
equal	0.8750	0.79688	-0.406250000
equal	0.8750	0.81250	-0.375000000
equal	0.8750	0.82812	-0.343750000
equal	0.8750	0.84375	-0.312500000
equal	0.8750	0.85938	-0.281250000
equal	0.8750	0.87500	-0.250000000
equal	0.8750	0.89062	-0.218750000
equal	0.8750	0.90625	-0.187500000
equal	0.8750	0.92188	-0.156250000
equal	0.8750	0.93750	-0.125000000
equal	0.8750	0.95312	-0.093750000
equal	0.8750	0.96875	-0.062500000
equal	0.8750	0.98438	-0.031250000
equal	1.0000	0.00000	1.000000000
equal	1.0000	0.01562	1.000000000
equal	1.0000	0.03125	1.000000000
equal	1.0000	0.04688	1.000000000
equal	1.0000	0.06250	1.000000000
equal	1.0000	0.07812	1.000000000
equal	1.0000	0.09375	1.000000000
equal	1.0000	0.10938	1.000000000
equal	1.0000	0.12500	1.000000000
equal	1.0000	0.14062	1.000000000
equal	1.0000	0.15625	1.000000000
equal	1.0000	0.17188	1.000000000
equal	1.0000	0.18750	1.000000000
equal	1.0000	0.20312	1.000000000
equal	1.0000	0.21875	1.000000000
equal	1.0000	0.23438	1.000000000
equal	1.0000	0.25000	1.000000000
equal	1.0000	0.26562	1.000000000
equal	1.0000	0.28125	1.000000000
equal	1.0000	0.29688	1.000000000
equal	1.0000	0.31250	1.000000000
equal	1.0000	0.32812	1.000000000
equal	1.0000	0.34375	1.000000000
equal	1.0000	0.35938	1.000000000
equal	1.0000	0.37500	1.000000000
equal	1.0000	0.39062	1.000000000
equal	1.0000	0.40625	1.000000000
equal	1.0000	0.42188	1.000000000
equal	1.0000	0.43750	1.000000000
equal	1.0000	0.45312	1.000000000
equal	1.0000	0.46875	1.000000000
equal	1.0000	0.48438	1.000000000
equal	1.0000	0.50000	-1.000000000
equal	1.0000	0.51562	-1.000000000
equal	1.0000	0.53125	-1.000000000
equal	1.0000	0.54688	-1.000000000
equal	1.0000	0.56250	-1.000000000
equal	1.0000	0.57812	-1.000000000
equal	1.0000	0.59375	-1.000000000
equal	1.0000	0.60938	-1.000000000
equal	1.0000	0.62500	-1.000000000
equal	1.0000	0.64062	-1.000000000
equal	1.0000	0.65625	-1.000000000
equal	1.0000	0.67188	-1.000000000
equal	1.0000	0.68750	-1.000000000
equal	1.0000	0.70312	-1.000000000
equal	1.0000	0.71875	-1.000000000
equal	1.0000	0.73438	-1.000000000
equal	1.0000	0.75000	-1.000000000
equal	1.0000	0.76562	-1.000000000
equal	1.0000	0.78125	-1.000000000
equal	1.0000	0.79688	-1.000000000
equal	1.0000	0.81250	-1.000000000
equal	1.0000	0.82812	-1.000000000
equal	1.0000	0.84375	-1.000000000
equal	1.0000	0.85938	-1.000000000
equal	1.0000	0.87500	-1.000000000
equal	1.0000	0.89062	-1.000000000
equal	1.0000	0.90625	-1.000000000
equal	1.0000	0.92188	-1.000000000
equal	1.0000	0.93750	-1.000000000
equal	1.0000	0.95312	-1.000000000
equal	1.0000	0.96875	-1.000000000
equal	1.0000	0.98438	-1.000000000
