sr	candidate	norm	peakA	rmsA	peakB	rmsB
48000	equal	0.9500	0.499568273	0.406563918	0.499324963	0.374919392
48000	equal	0.9750	0.499784137	0.452134758	0.499062154	0.431919160
48000	equal	1.0000	0.500000000	0.500000000	0.500000000	0.500000000
88200	equal	0.0000	0.499773243	0.285422097	0.499987557	0.357778072
88200	equal	0.0250	0.399818594	0.228337678	0.399977787	0.269330049
88200	equal	0.0500	0.299863946	0.171253258	0.299984451	0.190953888
88200	equal	0.0750	0.199909297	0.114168839	0.199870449	0.121294238
88200	equal	0.1000	0.099954649	0.057084419	0.099954673	0.058427529
88200	equal	0.1250	0.000000000	0.000000000	0.000000000	0.000000000
88200	equal	0.1500	0.099954649	0.057084419	0.099863970	0.056680195
88200	equal	0.1750	0.199909297	0.114168839	0.199546584	0.114470307
88200	equal	0.2000	0.299863946	0.171253258	0.299347272	0.176166322
88200	equal	0.2250	0.399818594	0.228337678	0.399383812	0.244292079
88200	equal	0.2500	0.499773243	0.285422097	0.499547411	0.320965200
88200	equal	0.2750	0.449867156	0.285035446	0.449641639	0.314317057
88200	equal	0.3000	0.399961070	0.286333545	0.399867663	0.310408344
88200	equal	0.3250	0.368702944	0.289293717	0.368702834	0.308928663
88200	equal	0.3500	0.373261687	0.293865739	0.373262415	0.309525880
88200	equal	0.3750	0.387773510	0.299975920	0.387775485	0.311834316
88200	equal	0.4000	0.406778457	0.307532591	0.406780165	0.315500907
88200	equal	0.4250	0.428257639	0.316432138	0.428260968	0.320206045
88200	equal	0.4500	0.451267116	0.326564793	0.451267119	0.325677997
88200	equal	0.4750	0.475281428	0.337819615	0.475280232	0.331701543
88200	equal	0.5000	0.499999873	0.350088392	0.499999941	0.338122210
88200	equal	0.5250	0.451125961	0.316664145	0.451126252	0.317888765
88200	equal	0.5500	0.405076795	0.286574502	0.405076797	0.295958483
88200	equal	0.5750	0.363109616	0.260975432	0.363109455	0.273984994
88200	equal	0.6000	0.327448222	0.241300378	0.327448220	0.254612775
88200	equal	0.6250	0.302628412	0.229080848	0.302628396	0.241151482
88200	equal	0.6500	0.301808301	0.225531956	0.301808317	0.236986234
88200	equal	0.6750	0.349612428	0.231053581	0.349628676	0.244818019
88200	equal	0.7000	0.399345138	0.245033299	0.399488250	0.266135581
88200	equal	0.7250	0.449124164	0.266141585	0.449552730	0.301022652
88200	equal	0.7500	0.498947695	0.292840973	0.499862072	0.344863279
88200	equal	0.7750	0.499052926	0.269882746	0.499412093	0.306229117
88200	equal	0.8000	0.499158156	0.257756374	0.499187202	0.277559893
88200	equal	0.8250	0.499263387	0.257993778	0.499208374	0.262611376
88200	equal	0.8500	0.499368617	0.270562416	0.498913538	0.261344269
88200	equal	0.8750	0.499473848	0.293884404	0.499152520	0.273918565
88200	equal	0.9000	0.499579078	0.325657572	0.499027561	0.298022837
88200	equal	0.9250	0.499684309	0.363673556	0.499358258	0.333429741
88200	equal	0.9500	0.499789539	0.406183268	0.499611043	0.379091008
88200	equal	0.9750	0.499894770	0.451920379	0.499979857	0.434596471
88200	equal	1.0000	0.500000000	0.500000000	0.500000000	0.500000000
96000	equal	0.0000	0.499375000	0.296910177	0.499989497	0.361570048
96000	equal	0.0250	0.399500000	0.237528142	0.399834500	0.273893839
96000	equal	0.0500	0.299625000	0.178146106	0.299999344	0.195527166
96000	equal	0.0750	0.199750000	0.118764071	0.199916375	0.125015410
96000	equal	0.1000	0.099875000	0.059382035	0.099916594	0.060552973
96000	equal	0.1250	0.000000000	0.000000000	0.000000000	0.000000000
96000	equal	0.1500	0.099875000	0.059382035	0.099833406	0.059041543
96000	equal	0.1750	0.199750000	0.118764071	0.199583625	0.119091489
96000	equal	0.2000	0.299625000	0.178146106	0.299250656	0.182620961
96000	equal	0.2250	0.399500000	0.237528142	0.398834500	0.251892736
96000	equal	0.2500	0.499375000	0.296910177	0.498335156	0.328852408
96000	equal	0.2750	0.449633849	0.296139258	0.449085242	0.320225150
96000	equal	0.3000	0.399892698	0.297071946	0.399749672	0.314225833
96000	equal	0.3250	0.368702921	0.299692335	0.368702935	0.310595898
96000	equal	0.3500	0.373263192	0.303956779	0.373263385	0.309036599
96000	equal	0.3750	0.387775445	0.309797394	0.387775490	0.309231581
96000	equal	0.4000	0.406780411	0.317127106	0.406780389	0.310869656
96000	equal	0.4250	0.428261744	0.325845439	0.428261830	0.313664622
96000	equal	0.4500	0.451266933	0.335844269	0.451267169	0.317370477
96000	equal	0.4750	0.475281477	0.347012924	0.475280994	0.321791773
96000	equal	0.5000	0.499999572	0.359242314	0.499998213	0.326789796
96000	equal	0.5250	0.451125810	0.325750934	0.451125970	0.308374433
96000	equal	0.5500	0.405076831	0.295274744	0.405076817	0.288148827
96000	equal	0.5750	0.363109458	0.268841122	0.363109187	0.267553200
96000	equal	0.6000	0.327448420	0.247747443	0.327447895	0.249053601
96000	equal	0.6250	0.302628176	0.233445740	0.302628412	0.235808656
96000	equal	0.6500	0.301808288	0.227222146	0.301808316	0.231063237
96000	equal	0.6750	0.349704488	0.229734119	0.349676093	0.237373999
96000	equal	0.7000	0.399381774	0.240708327	0.399545594	0.256419072
96000	equal	0.7250	0.449059059	0.259071619	0.449388495	0.288686887
96000	equal	0.7500	0.498920683	0.283391215	0.499854545	0.331054880
