id	path	sr	f0_target	f0_refined	harmris_full_db	harmris_inband_db	blref_inband_db	blref_full_db	blshape_max_db	theory_dedup_db	N	periods	gap	category
drone1_classic_44100_t20	drone1_classic	44100	14	14.35	-14.96	-19.04	-	-	-	-	16384	5	-	composite(saw+cubic_chain)
drone1_classic_44100_t50	drone1_classic	44100	20	21.15	-15.29	-18.66	-	-	-	-	16384	8	-	composite(saw+cubic_chain)
drone1_classic_44100_t80	drone1_classic	44100	31	31.47	-18.19	-20.53	-	-	-	-	16384	12	-	composite(saw+cubic_chain)
drone1_classic_48000_t20	drone1_classic	48000	13	14.41	-19.77	-21.19	-	-	-	-	16384	5	-	composite(saw+cubic_chain)
drone1_classic_48000_t50	drone1_classic	48000	20	21.21	-19.32	-21.80	-	-	-	-	16384	7	-	composite(saw+cubic_chain)
drone1_classic_48000_t80	drone1_classic	48000	31	31.50	-19.25	-21.77	-	-	-	-	16384	11	-	composite(saw+cubic_chain)
drone1_classic_88200_t20	drone1_classic	88200	14	14.24	-10.67	-14.70	-	-	-	-	16384	3	-	composite(saw+cubic_chain)
drone1_classic_88200_t50	drone1_classic	88200	19	20.85	-10.00	-12.20	-	-	-	-	16384	4	-	composite(saw+cubic_chain)
drone1_classic_88200_t80	drone1_classic	88200	30	31.52	-17.26	-21.02	-	-	-	-	16384	6	-	composite(saw+cubic_chain)
drone1_classic_96000_t20	drone1_classic	96000	13	14.92	-9.99	-14.20	-	-	-	-	16384	3	-	composite(saw+cubic_chain)
drone1_classic_96000_t50	drone1_classic	96000	19	21.37	-14.92	-19.02	-	-	-	-	16384	4	-	composite(saw+cubic_chain)
drone1_classic_96000_t80	drone1_classic	96000	31	31.59	-19.46	-23.97	-	-	-	-	16384	5	-	composite(saw+cubic_chain)
drone3_schmitt_44100_p20	drone3_schmitt	44100	1160	1160.53	-46.53	-56.46	-61.55	-47.43	-0.84	-	16384	431	-	composite(Schmitt_voice)
drone3_schmitt_44100_p60	drone3_schmitt	44100	2004	2004.52	-15.06	-21.86	-201.42	-41.01	-0.67	-	8820	401	0.0002	composite(Schmitt_voice)
drone3_schmitt_48000_p20	drone3_schmitt	48000	1142	1142.88	-20.62	-27.05	-68.29	-50.80	-20.17	-	16000	381	0.0001	composite(Schmitt_voice)
drone3_schmitt_48000_p60	drone3_schmitt	48000	2000	2000.00	-263.26	-266.14	-203.04	-41.61	-5.01	-	16368	682	0.0000	composite(Schmitt_voice)
drone3_schmitt_88200_p20	drone3_schmitt	88200	1159	1160.48	-34.88	-41.34	-89.28	-58.26	-10.83	-	16384	216	-	composite(Schmitt_voice)
drone3_schmitt_88200_p60	drone3_schmitt	88200	2004	2004.58	-36.80	-43.78	-213.04	-51.18	-10.89	-	16384	372	-	composite(Schmitt_voice)
drone3_schmitt_96000_p20	drone3_schmitt	96000	1169	1170.76	-41.06	-47.08	-71.23	-54.66	1.16	-	16384	200	-	composite(Schmitt_voice)
drone3_schmitt_96000_p60	drone3_schmitt	96000	2000	2000.00	-254.63	-254.28	-205.96	-52.00	-21.45	-	16368	341	0.0000	composite(Schmitt_voice)
drone6_schmitt_44100_p30	drone6_schmitt	44100	2756	2756.25	-18.07	-25.16	-216.08	-32.44	-1.50	-	11025	689	0.0001	composite(Schmitt_voice)
drone6_schmitt_48000_p30	drone6_schmitt	48000	2666	2666.69	-13.45	-20.09	-225.43	-41.54	-4.46	-	16000	889	0.0001	composite(Schmitt_voice)
drone6_schmitt_88200_p30	drone6_schmitt	88200	2756	2756.25	-68.00	-75.17	-215.08	-41.92	-0.44	-	16384	512	-	composite(Schmitt_voice)
drone6_schmitt_96000_p30	drone6_schmitt	96000	2666	2666.71	-36.84	-43.79	-219.05	-46.85	-10.03	-	16384	455	-	composite(Schmitt_voice)
preamp_ac_44100_l0	preamp_ac	44100	440	440.00	-244.20	-245.28	-	-	-	-	15435	154	0.0000	nonlinear(preamp_tanh)
preamp_ac_44100_l1	preamp_ac	44100	440	440.00	-57.62	-57.92	-	-	-	-	15435	154	0.0000	nonlinear(preamp_tanh)
preamp_ac_48000_l0	preamp_ac	48000	440	440.00	-246.41	-246.66	-	-	-	-	15600	143	0.0000	nonlinear(preamp_tanh)
preamp_ac_48000_l1	preamp_ac	48000	440	440.00	-63.32	-65.99	-	-	-	-	15600	143	0.0000	nonlinear(preamp_tanh)
preamp_ac_88200_l0	preamp_ac	88200	440	440.00	-241.27	-241.51	-	-	-	-	15435	77	0.0000	nonlinear(preamp_tanh)
preamp_ac_88200_l1	preamp_ac	88200	440	440.00	-95.37	-96.94	-	-	-	-	15435	77	0.0000	nonlinear(preamp_tanh)
preamp_ac_96000_l0	preamp_ac	96000	440	439.99	-244.08	-244.35	-	-	-	-	14400	66	0.0000	nonlinear(preamp_tanh)
preamp_ac_96000_l1	preamp_ac	96000	440	439.99	-102.19	-104.67	-	-	-	-	14400	66	0.0000	nonlinear(preamp_tanh)
vco_a_tri_44100_220	vco_a_tri	44100	220	220.00	-79.75	-122.52	-122.01	-79.59	-8.23	-78.00	15435	77	0.0000	triangle(analytic_target)
vco_a_tri_44100_440	vco_a_tri	44100	440	440.00	-72.78	-112.97	-112.53	-70.65	-9.14	-68.70	15435	154	0.0000	triangle(analytic_target)
vco_a_tri_44100_880	vco_a_tri	44100	880	880.00	-60.23	-103.96	-103.61	-61.73	-7.38	-59.64	15435	308	0.0000	triangle(analytic_target)
vco_a_tri_48000_220	vco_a_tri	48000	220	220.00	-80.30	-125.85	-125.06	-80.90	-7.26	-79.62	14400	66	0.0000	triangle(analytic_target)
vco_a_tri_48000_440	vco_a_tri	48000	440	440.00	-73.07	-117.26	-116.41	-71.47	-9.73	-70.95	15600	143	0.0000	triangle(analytic_target)
vco_a_tri_48000_880	vco_a_tri	48000	880	880.00	-60.91	-106.77	-106.26	-63.09	-8.03	-61.10	16200	297	0.0000	triangle(analytic_target)
vco_a_tri_88200_220	vco_a_tri	88200	220	220.00	-88.77	-136.76	-136.02	-88.60	-7.79	-90.31	13230	33	0.0000	triangle(analytic_target)
vco_a_tri_88200_440	vco_a_tri	88200	440	440.00	-79.75	-126.12	-125.55	-79.59	-8.23	-81.35	15435	77	0.0000	triangle(analytic_target)
vco_a_tri_88200_880	vco_a_tri	88200	880	879.99	-72.78	-116.58	-116.15	-70.65	-9.14	-71.84	15435	154	0.0000	triangle(analytic_target)
vco_a_tri_96000_220	vco_a_tri	96000	220	219.98	-90.15	-138.04	-137.36	-89.74	-7.64	-91.63	14400	33	0.0001	triangle(analytic_target)
vco_a_tri_96000_440	vco_a_tri	96000	440	440.00	-80.30	-128.76	-128.07	-80.90	-7.26	-82.37	14400	66	0.0000	triangle(analytic_target)
vco_a_tri_96000_880	vco_a_tri	96000	880	880.00	-73.07	-121.49	-120.65	-71.47	-9.73	-74.95	15600	143	0.0000	triangle(analytic_target)
vco_b_tri_44100_220	vco_b_tri	44100	220	220.00	-79.75	-122.52	-122.01	-79.59	-8.23	-78.00	15435	77	0.0000	triangle(analytic_target)
vco_b_tri_44100_440	vco_b_tri	44100	440	440.00	-72.78	-112.97	-112.53	-70.65	-9.14	-68.70	15435	154	0.0000	triangle(analytic_target)
vco_b_tri_44100_880	vco_b_tri	44100	880	880.00	-60.23	-103.96	-103.61	-61.73	-7.38	-59.64	15435	308	0.0000	triangle(analytic_target)
vco_b_tri_48000_220	vco_b_tri	48000	220	220.00	-80.30	-125.85	-125.06	-80.90	-7.26	-79.62	14400	66	0.0000	triangle(analytic_target)
vco_b_tri_48000_440	vco_b_tri	48000	440	440.00	-73.07	-117.26	-116.41	-71.47	-9.73	-70.95	15600	143	0.0000	triangle(analytic_target)
vco_b_tri_48000_880	vco_b_tri	48000	880	880.00	-60.91	-106.77	-106.26	-63.09	-8.03	-61.10	16200	297	0.0000	triangle(analytic_target)
vco_b_tri_88200_220	vco_b_tri	88200	220	220.00	-88.77	-136.76	-136.02	-88.60	-7.79	-90.31	13230	33	0.0000	triangle(analytic_target)
vco_b_tri_88200_440	vco_b_tri	88200	440	440.00	-79.75	-126.12	-125.55	-79.59	-8.23	-81.35	15435	77	0.0000	triangle(analytic_target)
vco_b_tri_88200_880	vco_b_tri	88200	880	879.99	-72.78	-116.58	-116.15	-70.65	-9.14	-71.84	15435	154	0.0000	triangle(analytic_target)
vco_b_tri_96000_220	vco_b_tri	96000	220	219.98	-90.15	-138.04	-137.36	-89.74	-7.64	-91.63	14400	33	0.0001	triangle(analytic_target)
vco_b_tri_96000_440	vco_b_tri	96000	440	440.00	-80.30	-128.76	-128.07	-80.90	-7.26	-82.37	14400	66	0.0000	triangle(analytic_target)
vco_b_tri_96000_880	vco_b_tri	96000	880	880.00	-73.07	-121.49	-120.65	-71.47	-9.73	-74.95	15600	143	0.0000	triangle(analytic_target)
wet_chain_44100_44100	wet_chain	44100	235	220.00	-3.60	-5.97	-	-	-	-	15435	77	0.0000	composite(kVcfPath)
wet_chain_48000_48000	wet_chain	48000	232	220.01	-3.56	-6.36	-	-	-	-	14400	66	0.0001	composite(kVcfPath)
wet_chain_88200_88200	wet_chain	88200	229	220.08	-4.00	-5.54	-	-	-	-	16384	41	-	composite(kVcfPath)
wet_chain_96000_96000	wet_chain	96000	220	219.94	-4.29	-5.40	-	-	-	-	14400	33	0.0003	composite(kVcfPath)
MACHINE	cpu_four_output	0	finite_block_failcount	arm64	Darwin 25.6.0	Apple LLVM 21.0.0 (clang-2100.1.1.101)
MACHINE	cpu_four_note	clean	note	arm64	Darwin 25.6.0	Apple LLVM 21.0.0 (clang-2100.1.1.101)
MACHINE	cpu_blockpartition	0.000000	block_partition_maxdiff	arm64	Darwin 25.6.0	Apple LLVM 21.0.0 (clang-2100.1.1.101)
MACHINE	cpu_blockpartition_note	clean	note	arm64	Darwin 25.6.0	Apple LLVM 21.0.0 (clang-2100.1.1.101)
MACHINE	cpu_prep	0.092374	ms	arm64	Darwin 25.6.0	Apple LLVM 21.0.0 (clang-2100.1.1.101)
MACHINE	cpu_render_loop	640.477261	ns_per_sample_harness_render	arm64	Darwin 25.6.0	Apple LLVM 21.0.0 (clang-2100.1.1.101)
MACHINE	cpu_render_loop_var	2.078187	ns_per_sample_stdev	arm64	Darwin 25.6.0	Apple LLVM 21.0.0 (clang-2100.1.1.101)
MACHINE	cpu_render_loop_msps	1.561336	Msamples_per_s	arm64	Darwin 25.6.0	Apple LLVM 21.0.0 (clang-2100.1.1.101)
MACHINE	cpu_block_ns	637.252258	ns_per_sample_pure_processblock	arm64	Darwin 25.6.0	Apple LLVM 21.0.0 (clang-2100.1.1.101)
MACHINE	cpu_block_var	1.916060	ns_per_sample_stdev	arm64	Darwin 25.6.0	Apple LLVM 21.0.0 (clang-2100.1.1.101)
MACHINE	cpu_block_size	512	samples_per_block	arm64	Darwin 25.6.0	Apple LLVM 21.0.0 (clang-2100.1.1.101)
