id	path	signal	sr_hz	f_target_hz	side	duty_param	morph	pw_depth	lfo_wave	f0_meas_hz	phi0_model	peak	channel	cable	warm	win	raw	samples	src
vco_b_sawmix_88200_880_m25000	vco_b_sawmix	-	88200.000000	880.000000	b	0.5	0.25	0	-	879.2724609375	3.5918367346938775	0.49999999999979394	dry_b	none	8192	16384	gh19_s6_scn93.raw	24576	-
vco_b_sawmix_96000_220_m25000	vco_b_sawmix	-	96000.000000	220.000000	b	0.5	0.25	0	-	218.75	0.82499999999999996	0.49999999999914913	dry_b	none	8192	16384	gh19_s6_scn94.raw	24576	-
vco_b_sawmix_96000_440_m25000	vco_b_sawmix	-	96000.000000	440.000000	b	0.5	0.25	0	-	439.453125	1.6499999999999999	0.49999999999977618	dry_b	none	8192	16384	gh19_s6_scn95.raw	24576	-
vco_b_sawmix_96000_880_m25000	vco_b_sawmix	-	96000.000000	880.000000	b	0.5	0.25	0	-	878.90625	3.2999999999999998	0.4999999999999396	dry_b	none	8192	16384	gh19_s6_scn96.raw	24576	-
vco_a_sawmix_44100_440_m31250	vco_a_sawmix	-	44100.000000	440.000000	a	0.5	0.3125	0	-	439.63623046875	3.5918367346938775	0.37613019012535148	dry_a	none	8192	16384	gh19_s6_scn97.raw	24576	-
vco_a_sawmix_48000_440_m31250	vco_a_sawmix	-	48000.000000	440.000000	a	0.5	0.3125	0	-	439.453125	3.2999999999999998	0.37613009903203576	dry_a	none	8192	16384	gh19_s6_scn98.raw	24576	-
vco_a_sawmix_88200_440_m31250	vco_a_sawmix	-	88200.000000	440.000000	a	0.5	0.3125	0	-	439.63623046875	1.7959183673469388	0.37613019012534715	dry_a	none	8192	16384	gh19_s6_scn99.raw	24576	-
vco_a_sawmix_96000_440_m31250	vco_a_sawmix	-	96000.000000	440.000000	a	0.5	0.3125	0	-	439.453125	1.6499999999999999	0.37613019687194787	dry_a	none	8192	16384	gh19_s6_scn100.raw	24576	-
vco_a_sawmix_44100_440_m37500	vco_a_sawmix	-	44100.000000	440.000000	a	0.5	0.375	0	-	439.63623046875	3.5918367346938775	0.38777530972963514	dry_a	none	8192	16384	gh19_s6_scn101.raw	24576	-
vco_a_sawmix_48000_440_m37500	vco_a_sawmix	-	48000.000000	440.000000	a	0.5	0.375	0	-	439.453125	3.2999999999999998	0.38777543583577556	dry_a	none	8192	16384	gh19_s6_scn102.raw	24576	-
vco_a_sawmix_88200_440_m37500	vco_a_sawmix	-	88200.000000	440.000000	a	0.5	0.375	0	-	439.63623046875	1.7959183673469388	0.38777530972958407	dry_a	none	8192	16384	gh19_s6_scn103.raw	24576	-
vco_a_sawmix_96000_440_m37500	vco_a_sawmix	-	96000.000000	440.000000	a	0.5	0.375	0	-	439.453125	1.6499999999999999	0.38777543583575075	dry_a	none	8192	16384	gh19_s6_scn104.raw	24576	-
vco_a_sawmix_44100_440_m43750	vco_a_sawmix	-	44100.000000	440.000000	a	0.5	0.4375	0	-	439.63623046875	3.5918367346938775	0.4396128403289436	dry_a	none	8192	16384	gh19_s6_scn105.raw	24576	-
