id	sr_hz	mode	res	norm	lvl	freq_hz	channel	amp_rms	amp_peak	f0_meas_hz	noise_rms	window	ok	signal
cutoff_norm_sr44100_r0_lvlsmall_n0_f1200	44100	lp	0	0	0.05	1200	wetL	3.55619646e-06	5.05314018e-06	1200.47607	6.9014743e-06	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0_f1200	44100	lp	0	0	0.2	1200	wetL	1.41893309e-05	2.01603391e-05	1200.47607	2.75370901e-05	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0_f1200	44100	lp	0.5	0	0.05	1200	wetL	3.55362525e-06	5.49731621e-06	1200.47607	6.86686008e-06	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0_f1200	44100	lp	0.5	0	0.2	1200	wetL	1.41790736e-05	2.19330856e-05	1200.47607	2.73989791e-05	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0_f1200	44100	lp	1	0	0.05	1200	wetL	5.32987393e-05	0.000153022203	92.8619385	5.36037265e-05	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0_f1200	44100	lp	1	0	0.2	1200	wetL	0.000212721127	0.000610721828	92.8619385	0.000213937694	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0_f1600	44100	lp	0	0	0.05	1600	wetL	2.00455019e-06	2.85497596e-06	1600.18616	3.06211889e-06	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0_f1600	44100	lp	0	0	0.2	1600	wetL	7.99821552e-06	1.13903848e-05	1600.18616	1.22179466e-05	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0_f1600	44100	lp	0.5	0	0.05	1600	wetL	2.0032148e-06	3.18597875e-06	1600.18616	3.08956857e-06	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0_f1600	44100	lp	0.5	0	0.2	1600	wetL	7.99288936e-06	1.27114506e-05	1600.18616	1.23274728e-05	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0_f1600	44100	lp	1	0	0.05	1600	wetL	3.98566526e-05	0.000113590815	90.1702881	3.99243646e-05	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0_f1600	44100	lp	1	0	0.2	1600	wetL	0.000159071686	0.000453347978	90.1702881	0.000159341783	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0_f2500	44100	lp	0	0	0.05	2500	wetL	8.26293092e-07	1.1813427e-06	2499.19739	4.90259577e-07	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0_f2500	44100	lp	0	0	0.2	2500	wetL	3.29693427e-06	4.71313719e-06	2499.19739	1.95615058e-06	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0_f2500	44100	lp	0.5	0	0.05	2500	wetL	8.26275068e-07	1.39222139e-06	2499.19739	5.03270567e-07	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0_f2500	44100	lp	0.5	0	0.2	2500	wetL	3.2968644e-06	5.55476631e-06	2499.19739	2.00806823e-06	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0_f2500	44100	lp	1	0	0.05	2500	wetL	2.53281794e-05	7.15977366e-05	84.7869873	2.5320292e-05	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0_f2500	44100	lp	1	0	0.2	2500	wetL	0.000101085745	0.000285747835	84.7869873	0.000101054282	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0_f3500	44100	lp	0	0	0.05	3500	wetL	4.25904024e-07	6.12065287e-07	3499.14551	7.43437706e-07	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0_f3500	44100	lp	0	0	0.2	3500	wetL	1.69936986e-06	2.44190569e-06	3499.14551	2.96633876e-06	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0_f3500	44100	lp	0.5	0	0.05	3500	wetL	4.26342031e-07	7.60686141e-07	3499.14551	7.45271908e-07	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0_f3500	44100	lp	0.5	0	0.2	3500	wetL	1.70111932e-06	3.03504409e-06	3499.14551	2.97365834e-06	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0_f3500	44100	lp	1	0	0.05	3500	wetL	1.78997237e-05	5.03900083e-05	90.1702881	1.79106725e-05	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0_f3500	44100	lp	1	0	0.2	3500	wetL	7.1436728e-05	0.000201102774	90.1702881	7.14804047e-05	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0_f4500	44100	lp	0	0	0.05	4500	wetL	2.61161033e-07	3.76089902e-07	4500.43945	5.06361218e-07	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0_f4500	44100	lp	0	0	0.2	4500	wetL	1.04204039e-06	1.50043557e-06	4500.43945	2.0203965e-06	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0_f4500	44100	lp	0.5	0	0.05	4500	wetL	2.61758732e-07	4.91054771e-07	4499.09363	5.05669507e-07	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0_f4500	44100	lp	0.5	0	0.2	4500	wetL	1.04442666e-06	1.95923762e-06	4499.09363	2.01763731e-06	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0_f4500	44100	lp	1	0	0.05	4500	wetL	1.37258011e-05	3.85430467e-05	98.2452393	1.37328419e-05	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0_f4500	44100	lp	1	0	0.2	4500	wetL	5.47769009e-05	0.000153817111	98.2452393	5.48049887e-05	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0_f5500	44100	lp	0	0	0.05	5500	wetL	1.77836626e-07	2.54340228e-07	5500.38757	1.90766112e-07	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0_f5500	44100	lp	0	0	0.2	5500	wetL	7.09573504e-07	1.01468409e-06	5500.38757	7.61162543e-07	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0_f5500	44100	lp	0.5	0	0.05	5500	wetL	1.78484268e-07	3.47336438e-07	5500.38757	1.90369513e-07	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0_f5500	44100	lp	0.5	0	0.2	5500	wetL	7.12158623e-07	1.3858001e-06	5500.38757	7.59581057e-07	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0_f5500	44100	lp	1	0	0.05	5500	wetL	1.10293027e-05	3.09345988e-05	95.5535889	1.10295667e-05	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0_f5500	44100	lp	1	0	0.2	5500	wetL	4.401355e-05	0.000123447393	95.5535889	4.40146033e-05	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0_f6500	44100	lp	0	0	0.05	6500	wetL	1.29977482e-07	1.89002127e-07	6498.98987	4.91503296e-08	16384	1	-
cutoff_norm_sr44100_r0_lvlmedium_n0_f6500	44100	lp	0	0	0.2	6500	wetL	5.18614065e-07	7.54000216e-07	6498.98987	1.96111334e-07	16384	1	-
cutoff_norm_sr44100_r0p5_lvlsmall_n0_f6500	44100	lp	0.5	0	0.05	6500	wetL	1.30626568e-07	2.64780534e-07	6498.98987	5.18868879e-08	16384	1	-
cutoff_norm_sr44100_r0p5_lvlmedium_n0_f6500	44100	lp	0.5	0	0.2	6500	wetL	5.21204437e-07	1.0563815e-06	6498.98987	2.0703154e-07	16384	1	-
cutoff_norm_sr44100_r1_lvlsmall_n0_f6500	44100	lp	1	0	0.05	6500	wetL	9.1273135e-06	2.55805257e-05	98.2452393	9.12653301e-06	16384	1	-
cutoff_norm_sr44100_r1_lvlmedium_n0_f6500	44100	lp	1	0	0.2	6500	wetL	3.6421016e-05	0.000102074628	98.2452393	3.64179021e-05	16384	1	-
cutoff_norm_sr44100_r0_lvlsmall_n0_f7000	44100	lp	0	0	0.05	7000	wetL	1.13378834e-07	1.65037635e-07	6999.63684	1.22016454e-07	16384	1	-
